"","X","Y"
"-2571.778086_3445.402956",-2571.778086,3445.402956
"-2571.778086_3545.402956",-2571.778086,3545.402956
"-2571.778086_3645.402956",-2571.778086,3645.402956
"-2571.778086_3745.402956",-2571.778086,3745.402956
"-2571.778086_3845.402956",-2571.778086,3845.402956
"-2571.778086_3945.402956",-2571.778086,3945.402956
"-2571.778086_4045.402956",-2571.778086,4045.402956
"-2571.778086_4145.402956",-2571.778086,4145.402956
"-2571.778086_4245.402956",-2571.778086,4245.402956
"-2671.778086_2745.402956",-2671.778086,2745.402956
"-2671.778086_2845.402956",-2671.778086,2845.402956
"-2671.778086_2945.402956",-2671.778086,2945.402956
"-2671.778086_3045.402956",-2671.778086,3045.402956
"-2671.778086_3145.402956",-2671.778086,3145.402956
"-2671.778086_3245.402956",-2671.778086,3245.402956
"-2671.778086_3345.402956",-2671.778086,3345.402956
"-2671.778086_3445.402956",-2671.778086,3445.402956
"-2671.778086_3545.402956",-2671.778086,3545.402956
"-2671.778086_3645.402956",-2671.778086,3645.402956
"-2671.778086_3745.402956",-2671.778086,3745.402956
"-2671.778086_3845.402956",-2671.778086,3845.402956
"-2671.778086_3945.402956",-2671.778086,3945.402956
"-2671.778086_4045.402956",-2671.778086,4045.402956
"-2671.778086_4145.402956",-2671.778086,4145.402956
"-2671.778086_4245.402956",-2671.778086,4245.402956
"-2771.778086_2745.402956",-2771.778086,2745.402956
"-2771.778086_2845.402956",-2771.778086,2845.402956
"-2771.778086_2945.402956",-2771.778086,2945.402956
"-2771.778086_3045.402956",-2771.778086,3045.402956
"-2771.778086_3145.402956",-2771.778086,3145.402956
"-2771.778086_3245.402956",-2771.778086,3245.402956
"-2771.778086_3345.402956",-2771.778086,3345.402956
"-2771.778086_3445.402956",-2771.778086,3445.402956
"-2771.778086_3545.402956",-2771.778086,3545.402956
"-2771.778086_3645.402956",-2771.778086,3645.402956
"-2771.778086_3745.402956",-2771.778086,3745.402956
"-2771.778086_3845.402956",-2771.778086,3845.402956
"-2771.778086_3945.402956",-2771.778086,3945.402956
"-2771.778086_4045.402956",-2771.778086,4045.402956
"-2771.778086_4145.402956",-2771.778086,4145.402956
"-2771.778086_4245.402956",-2771.778086,4245.402956
"-2871.778086_2745.402956",-2871.778086,2745.402956
"-2871.778086_2845.402956",-2871.778086,2845.402956
"-2871.778086_2945.402956",-2871.778086,2945.402956
"-2871.778086_3045.402956",-2871.778086,3045.402956
"-2871.778086_3145.402956",-2871.778086,3145.402956
"-2871.778086_3245.402956",-2871.778086,3245.402956
"-2871.778086_3345.402956",-2871.778086,3345.402956
"-2871.778086_3445.402956",-2871.778086,3445.402956
"-2871.778086_3545.402956",-2871.778086,3545.402956
"-2871.778086_3645.402956",-2871.778086,3645.402956
"-2871.778086_3745.402956",-2871.778086,3745.402956
"-2871.778086_3845.402956",-2871.778086,3845.402956
"-2871.778086_3945.402956",-2871.778086,3945.402956
"-2871.778086_4045.402956",-2871.778086,4045.402956
"-2871.778086_4145.402956",-2871.778086,4145.402956
"-2871.778086_4245.402956",-2871.778086,4245.402956
"-2971.778086_2745.402956",-2971.778086,2745.402956
"-2971.778086_2845.402956",-2971.778086,2845.402956
"-2971.778086_2945.402956",-2971.778086,2945.402956
"-2971.778086_3045.402956",-2971.778086,3045.402956
"-2971.778086_3145.402956",-2971.778086,3145.402956
"-2971.778086_3245.402956",-2971.778086,3245.402956
"-2971.778086_3345.402956",-2971.778086,3345.402956
"-2971.778086_3445.402956",-2971.778086,3445.402956
"-2971.778086_3545.402956",-2971.778086,3545.402956
"-2971.778086_3645.402956",-2971.778086,3645.402956
"-2971.778086_3745.402956",-2971.778086,3745.402956
"-2971.778086_3845.402956",-2971.778086,3845.402956
"-2971.778086_3945.402956",-2971.778086,3945.402956
"-2971.778086_4045.402956",-2971.778086,4045.402956
"-2971.778086_4145.402956",-2971.778086,4145.402956
"-2971.778086_4245.402956",-2971.778086,4245.402956
"-3071.778086_2745.402956",-3071.778086,2745.402956
"-3071.778086_2845.402956",-3071.778086,2845.402956
"-3071.778086_2945.402956",-3071.778086,2945.402956
"-3071.778086_3045.402956",-3071.778086,3045.402956
"-3071.778086_3145.402956",-3071.778086,3145.402956
"-3071.778086_3245.402956",-3071.778086,3245.402956
"-3071.778086_3345.402956",-3071.778086,3345.402956
"-3071.778086_3445.402956",-3071.778086,3445.402956
"-3071.778086_3545.402956",-3071.778086,3545.402956
"-3071.778086_3645.402956",-3071.778086,3645.402956
"-3071.778086_3745.402956",-3071.778086,3745.402956
"-3071.778086_3845.402956",-3071.778086,3845.402956
"-3071.778086_3945.402956",-3071.778086,3945.402956
"-3071.778086_4045.402956",-3071.778086,4045.402956
"-3071.778086_4145.402956",-3071.778086,4145.402956
"-3071.778086_4245.402956",-3071.778086,4245.402956
"-3171.778086_2745.402956",-3171.778086,2745.402956
"-3171.778086_2845.402956",-3171.778086,2845.402956
"-3171.778086_2945.402956",-3171.778086,2945.402956
"-3171.778086_3045.402956",-3171.778086,3045.402956
"-3171.778086_3145.402956",-3171.778086,3145.402956
"-3171.778086_3245.402956",-3171.778086,3245.402956
"-3171.778086_3345.402956",-3171.778086,3345.402956
"-3171.778086_3445.402956",-3171.778086,3445.402956
"-3171.778086_3545.402956",-3171.778086,3545.402956
"-3171.778086_3645.402956",-3171.778086,3645.402956
"-3171.778086_3745.402956",-3171.778086,3745.402956
"-3171.778086_3845.402956",-3171.778086,3845.402956
"-3171.778086_3945.402956",-3171.778086,3945.402956
"-3171.778086_4045.402956",-3171.778086,4045.402956
"-3171.778086_4145.402956",-3171.778086,4145.402956
"-3171.778086_4245.402956",-3171.778086,4245.402956
"-3271.778086_2745.402956",-3271.778086,2745.402956
"-3271.778086_2845.402956",-3271.778086,2845.402956
"-3271.778086_2945.402956",-3271.778086,2945.402956
"-3271.778086_3045.402956",-3271.778086,3045.402956
"-3271.778086_3145.402956",-3271.778086,3145.402956
"-3271.778086_3245.402956",-3271.778086,3245.402956
"-3271.778086_3345.402956",-3271.778086,3345.402956
"-3271.778086_3445.402956",-3271.778086,3445.402956
"-3271.778086_3545.402956",-3271.778086,3545.402956
"-3271.778086_3645.402956",-3271.778086,3645.402956
"-3271.778086_3745.402956",-3271.778086,3745.402956
"-3271.778086_3845.402956",-3271.778086,3845.402956
"-3271.778086_3945.402956",-3271.778086,3945.402956
"-3271.778086_4045.402956",-3271.778086,4045.402956
"-3271.778086_4145.402956",-3271.778086,4145.402956
"-3271.778086_4245.402956",-3271.778086,4245.402956
"-3371.778086_2745.402956",-3371.778086,2745.402956
"-3371.778086_2845.402956",-3371.778086,2845.402956
"-3371.778086_2945.402956",-3371.778086,2945.402956
"-3371.778086_3045.402956",-3371.778086,3045.402956
"-3371.778086_3145.402956",-3371.778086,3145.402956
"-3371.778086_3245.402956",-3371.778086,3245.402956
"-3371.778086_3345.402956",-3371.778086,3345.402956
"-3371.778086_3445.402956",-3371.778086,3445.402956
"-3371.778086_3545.402956",-3371.778086,3545.402956
"-3371.778086_3645.402956",-3371.778086,3645.402956
"-3371.778086_3745.402956",-3371.778086,3745.402956
"-3371.778086_3845.402956",-3371.778086,3845.402956
"-3371.778086_3945.402956",-3371.778086,3945.402956
"-3371.778086_4045.402956",-3371.778086,4045.402956
"-3371.778086_4145.402956",-3371.778086,4145.402956
"-3371.778086_4245.402956",-3371.778086,4245.402956
"-3471.778086_2745.402956",-3471.778086,2745.402956
"-3471.778086_2845.402956",-3471.778086,2845.402956
"-3471.778086_2945.402956",-3471.778086,2945.402956
"-3471.778086_3045.402956",-3471.778086,3045.402956
"-3471.778086_3145.402956",-3471.778086,3145.402956
"-3471.778086_3245.402956",-3471.778086,3245.402956
"-3471.778086_3345.402956",-3471.778086,3345.402956
"-3471.778086_3445.402956",-3471.778086,3445.402956
"-3471.778086_3545.402956",-3471.778086,3545.402956
"-3471.778086_3645.402956",-3471.778086,3645.402956
"-3471.778086_3745.402956",-3471.778086,3745.402956
"-3471.778086_3845.402956",-3471.778086,3845.402956
"-3471.778086_3945.402956",-3471.778086,3945.402956
"-3471.778086_4045.402956",-3471.778086,4045.402956
"-3471.778086_4145.402956",-3471.778086,4145.402956
"-3471.778086_4245.402956",-3471.778086,4245.402956
"1179.730793_2730.950073",1179.730793,2730.950073
"1179.730793_2830.950073",1179.730793,2830.950073
"1179.730793_2930.950073",1179.730793,2930.950073
"1179.730793_3030.950073",1179.730793,3030.950073
"1179.730793_3130.950073",1179.730793,3130.950073
"1179.730793_3230.950073",1179.730793,3230.950073
"1179.730793_3330.950073",1179.730793,3330.950073
"1179.730793_3430.950073",1179.730793,3430.950073
"1179.730793_3530.950073",1179.730793,3530.950073
"1179.730793_3630.950073",1179.730793,3630.950073
"1179.730793_3730.950073",1179.730793,3730.950073
"1179.730793_3830.950073",1179.730793,3830.950073
"1179.730793_3930.950073",1179.730793,3930.950073
"1179.730793_4030.950073",1179.730793,4030.950073
"1179.730793_4130.950073",1179.730793,4130.950073
"1179.730793_4230.950073",1179.730793,4230.950073
"1279.730793_2730.950073",1279.730793,2730.950073
"1279.730793_2830.950073",1279.730793,2830.950073
"1279.730793_2930.950073",1279.730793,2930.950073
"1279.730793_3030.950073",1279.730793,3030.950073
"1279.730793_3130.950073",1279.730793,3130.950073
"1279.730793_3230.950073",1279.730793,3230.950073
"1279.730793_3330.950073",1279.730793,3330.950073
"1279.730793_3430.950073",1279.730793,3430.950073
"1279.730793_3530.950073",1279.730793,3530.950073
"1279.730793_3630.950073",1279.730793,3630.950073
"1279.730793_3730.950073",1279.730793,3730.950073
"1279.730793_3830.950073",1279.730793,3830.950073
"1279.730793_3930.950073",1279.730793,3930.950073
"1279.730793_4030.950073",1279.730793,4030.950073
"1279.730793_4130.950073",1279.730793,4130.950073
"1279.730793_4230.950073",1279.730793,4230.950073
"1379.730793_2730.950073",1379.730793,2730.950073
"1379.730793_2830.950073",1379.730793,2830.950073
"1379.730793_2930.950073",1379.730793,2930.950073
"1379.730793_3030.950073",1379.730793,3030.950073
"1379.730793_3130.950073",1379.730793,3130.950073
"1379.730793_3230.950073",1379.730793,3230.950073
"1379.730793_3330.950073",1379.730793,3330.950073
"1379.730793_3430.950073",1379.730793,3430.950073
"1379.730793_3530.950073",1379.730793,3530.950073
"1379.730793_3630.950073",1379.730793,3630.950073
"1379.730793_3730.950073",1379.730793,3730.950073
"1379.730793_3830.950073",1379.730793,3830.950073
"1379.730793_3930.950073",1379.730793,3930.950073
"1379.730793_4030.950073",1379.730793,4030.950073
"1379.730793_4130.950073",1379.730793,4130.950073
"1379.730793_4230.950073",1379.730793,4230.950073
"1479.730793_2730.950073",1479.730793,2730.950073
"1479.730793_2830.950073",1479.730793,2830.950073
"1479.730793_2930.950073",1479.730793,2930.950073
"1479.730793_3030.950073",1479.730793,3030.950073
"1479.730793_3130.950073",1479.730793,3130.950073
"1479.730793_3230.950073",1479.730793,3230.950073
"1479.730793_3330.950073",1479.730793,3330.950073
"1479.730793_3430.950073",1479.730793,3430.950073
"1479.730793_3530.950073",1479.730793,3530.950073
"1479.730793_3630.950073",1479.730793,3630.950073
"1479.730793_3730.950073",1479.730793,3730.950073
"1479.730793_3830.950073",1479.730793,3830.950073
"1479.730793_3930.950073",1479.730793,3930.950073
"1479.730793_4030.950073",1479.730793,4030.950073
"1479.730793_4130.950073",1479.730793,4130.950073
"1479.730793_4230.950073",1479.730793,4230.950073
"1579.730793_2730.950073",1579.730793,2730.950073
"1579.730793_2830.950073",1579.730793,2830.950073
"1579.730793_2930.950073",1579.730793,2930.950073
"1579.730793_3030.950073",1579.730793,3030.950073
"1579.730793_3130.950073",1579.730793,3130.950073
"1579.730793_3230.950073",1579.730793,3230.950073
"1579.730793_3330.950073",1579.730793,3330.950073
"1579.730793_3430.950073",1579.730793,3430.950073
"1579.730793_3530.950073",1579.730793,3530.950073
"1579.730793_3630.950073",1579.730793,3630.950073
"1579.730793_3730.950073",1579.730793,3730.950073
"1579.730793_3830.950073",1579.730793,3830.950073
"1579.730793_3930.950073",1579.730793,3930.950073
"1579.730793_4030.950073",1579.730793,4030.950073
"1579.730793_4130.950073",1579.730793,4130.950073
"1579.730793_4230.950073",1579.730793,4230.950073
"1679.730793_2730.950073",1679.730793,2730.950073
"1679.730793_2830.950073",1679.730793,2830.950073
"1679.730793_2930.950073",1679.730793,2930.950073
"1679.730793_3030.950073",1679.730793,3030.950073
"1679.730793_3130.950073",1679.730793,3130.950073
"1679.730793_3230.950073",1679.730793,3230.950073
"1679.730793_3330.950073",1679.730793,3330.950073
"1679.730793_3430.950073",1679.730793,3430.950073
"1679.730793_3530.950073",1679.730793,3530.950073
"1679.730793_3630.950073",1679.730793,3630.950073
"1679.730793_3730.950073",1679.730793,3730.950073
"1679.730793_3830.950073",1679.730793,3830.950073
"1679.730793_3930.950073",1679.730793,3930.950073
"1679.730793_4030.950073",1679.730793,4030.950073
"1679.730793_4130.950073",1679.730793,4130.950073
"1679.730793_4230.950073",1679.730793,4230.950073
"1779.730793_2730.950073",1779.730793,2730.950073
"1779.730793_2830.950073",1779.730793,2830.950073
"1779.730793_2930.950073",1779.730793,2930.950073
"1779.730793_3030.950073",1779.730793,3030.950073
"1779.730793_3130.950073",1779.730793,3130.950073
"1779.730793_3230.950073",1779.730793,3230.950073
"1779.730793_3330.950073",1779.730793,3330.950073
"1779.730793_3430.950073",1779.730793,3430.950073
"1779.730793_3530.950073",1779.730793,3530.950073
"1779.730793_3630.950073",1779.730793,3630.950073
"1779.730793_3730.950073",1779.730793,3730.950073
"1779.730793_3830.950073",1779.730793,3830.950073
"1779.730793_3930.950073",1779.730793,3930.950073
"1779.730793_4030.950073",1779.730793,4030.950073
"1779.730793_4130.950073",1779.730793,4130.950073
"1779.730793_4230.950073",1779.730793,4230.950073
"1879.730793_2730.950073",1879.730793,2730.950073
"1879.730793_2830.950073",1879.730793,2830.950073
